"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10uF","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"C2","0.1uF","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"D1","RED","","LED_THT:LED_D3.0mm","1",""
"D2","YELLOW","","LED_THT:LED_D3.0mm","1",""
"D3,D7","LED","","LED_THT:LED_D5.0mm","2",""
"D4,D5,D6","1N5822","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","3",""
"J1","Real Time Clock","","Connector_Molex:Molex_SL_171971-0006_1x06_P2.54mm_Vertical","1",""
"J2","GSM","","Connector_Molex:Molex_SL_171971-0007_1x07_P2.54mm_Vertical","1",""
"J3","BATTERY_INPUT","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type055_RT01504HDWU_1x04_P5.00mm_Horizontal","1",""
"J4","Conn_01x09_Socket","","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","1",""
"J5","Conn_01x08_Socket","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J6","I2C","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal","1",""
"J7","WIND SPEED","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal","1",""
"J8","LIGHT INTENSITY","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal","1",""
"J9","RAINFALL SENSOR","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal","1",""
"J10","WIND VANE","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-3-3.81_1x03_P3.81mm_Horizontal","1",""
"J11","SD CARD","","Connector_Molex:Molex_SL_171971-0006_1x06_P2.54mm_Vertical","1",""
"J12","SOIL TEMP","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-3-3.81_1x03_P3.81mm_Horizontal","1",""
"J13","DHT 22","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-3-3.81_1x03_P3.81mm_Horizontal","1",""
"J14","SH25","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-4-3.81_1x04_P3.81mm_Horizontal","1",""
"J15","ATM PRESSURE","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-4-3.81_1x04_P3.81mm_Horizontal","1",""
